TIME STAMP:30
SYSTEM TIME: Thu Oct 18 21:27:22 2018
,Rebalance Time,3

TIME STAMP:1030
SYSTEM TIME: Thu Oct 18 21:30:04 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,445

,Average Computation Time,6.19048
,Maximum Computation Time,10
,Service Rate,34.2838
,Service Rate After Re-Balancing,69.5633
,Average Waiting Time,469.528
,Average Total Travel Delay,50.1297
,Average In Car Travel Delay,-221.469
,Occupancy (Passengers/Vehicle),1.63104
,Unassigned Requests Found,273
,Unassigned Vehicles Found,233
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1100
SYSTEM TIME: Thu Oct 18 21:30:12 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,591

,Average Computation Time,6.18182
,Maximum Computation Time,10
,Service Rate,34.2239
,Service Rate After Re-Balancing,69.5297
,Average Waiting Time,464.456
,Average Total Travel Delay,50.0072
,Average In Car Travel Delay,-241.855
,Occupancy (Passengers/Vehicle),1.63719
,Unassigned Requests Found,405
,Unassigned Vehicles Found,224
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1130
SYSTEM TIME: Thu Oct 18 21:30:19 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,424

,Average Computation Time,6.13043
,Maximum Computation Time,10
,Service Rate,32.701
,Service Rate After Re-Balancing,67.4433
,Average Waiting Time,465.632
,Average Total Travel Delay,51.798
,Average In Car Travel Delay,-255.41
,Occupancy (Passengers/Vehicle),1.64269
,Unassigned Requests Found,255
,Unassigned Vehicles Found,220
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1200
SYSTEM TIME: Thu Oct 18 21:30:27 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,626

,Average Computation Time,6.125
,Maximum Computation Time,10
,Service Rate,32.815
,Service Rate After Re-Balancing,67.7302
,Average Waiting Time,461.027
,Average Total Travel Delay,53.3947
,Average In Car Travel Delay,-263.315
,Occupancy (Passengers/Vehicle),1.64718
,Unassigned Requests Found,422
,Unassigned Vehicles Found,203
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1230
SYSTEM TIME: Thu Oct 18 21:30:34 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,443

,Average Computation Time,6.08
,Maximum Computation Time,10
,Service Rate,30.9247
,Service Rate After Re-Balancing,64.9569
,Average Waiting Time,461.418
,Average Total Travel Delay,54.616
,Average In Car Travel Delay,-274.72
,Occupancy (Passengers/Vehicle),1.6499
,Unassigned Requests Found,251
,Unassigned Vehicles Found,201
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1300
SYSTEM TIME: Thu Oct 18 21:30:42 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,561

,Average Computation Time,6.07692
,Maximum Computation Time,10
,Service Rate,31.2053
,Service Rate After Re-Balancing,65.3275
,Average Waiting Time,460.534
,Average Total Travel Delay,55.1599
,Average In Car Travel Delay,-289.172
,Occupancy (Passengers/Vehicle),1.65135
,Unassigned Requests Found,369
,Unassigned Vehicles Found,194
,ILP Solve Time,0
,Rebalance Time,3

